"meta:instanceID","id","qr_ozone","qr_no2","qr_h2s","qr_so2","install_time","notes"
"uuid:4c19e3ea-833f-4ed6-aad4-e1c017c4bd77","90","071417010555 110401 O3 1707 -35.73","071717010653 110501 NO2 1707 -47.03","071817010334 110303 H2S 1707 254.76","071217010857 110601 SO2 1707 31.07","Wed Apr 18 17:33:44 UTC 2018",
"uuid:4cec12f8-9902-4a62-b4e4-6c346c0c8147","101","071417010653 110401 O3 1707 -31.72","071717010633 110501 NO2 1707 -42.18","071817010303 110303 H2S 1707 282.43","071217010622 110601 SO2 1707 42.52","Wed Apr 18 17:36:02 UTC 2018",
"uuid:9d1e8a79-7a70-40e6-8421-72d3a172e5dc","77","071417010637 110401 O3 1707 -32.82","071717010635 110501 NO2 1707 -32.66","071817010332 110303 H2S 1707 278.16","071217010618 110601 SO2 1707 41.73","Wed Apr 18 17:43:32 UTC 2018",
"uuid:4c3e9cd5-83b7-4d75-a912-ef2fba117d88","84","071417010601 110401 O3 1707 -33.42","071717010350 110501 NO2 1707 -39.86","071817010348 110303 H2S 1707 282.60","071217010120 110601 SO2 1707 38.61","Wed Apr 18 17:47:55 UTC 2018",
"uuid:781a26ed-7481-4fa7-ad52-a2d806c3f1a5","82","071417010626 110401 O3 1707 -12.67","071717010339 110501 NO2 1707 -42.37","071817010302 110303 H2S 1707 296.96","071217010615 110601 SO2 1707 39.88","Wed Apr 18 17:50:49 UTC 2018",
"uuid:1ab5bb55-03ac-4eb5-b52d-c089fc7f9822","88","071417010609 110401 O3 1707 -33.08","071717010655 110501 NO2 1707 -45.49","071817010321 110303 H2S 1707 273.83","071217010538 110601 SO2 1707 42.75","Wed Apr 18 17:55:23 UTC 2018",
"uuid:eef28ba2-b222-4b8e-9235-38691a3e46b8","94","071417010625 110401 O3 1707 -34.09","071717010612 110501 NO2 1707 -41.14","071817010360 110303 H2S 1707 282.80","071217010513 110601 SO2 1707 40.35","Wed Apr 18 17:58:39 UTC 2018",
"uuid:7289ee2c-8b22-422a-80b7-8399ec8f419d","86","071417010642 110401 O3 1707 -31.2","071717010603 110501 NO2 1707 -38.79","071817010335 110303 H2S 1707 279.07","071217010617 110601 SO2 1707 43.55","Wed Apr 18 18:02:05 UTC 2018",
"uuid:cbe950c7-f52d-4d00-98b4-9a28e817d92f","87","071417010652 110401 O3 1707 -33.65","071717010252 110501 NO2 1707 -39.71","071817010156 110303 H2S 1707 284.36","071217010117 110601 SO2 1707 38.79","Wed Apr 18 18:05:07 UTC 2018",
"uuid:a5070275-6554-4115-a9ae-7d59c971f78f","102","071417010658 110401 O3 1707 -29.83","071717010651 110501 NO2 1707 -39.83","071817010120 110303 H2S 1707 245.08","071217010410 110601 SO2 1707 40.81","Wed Apr 18 18:07:45 UTC 2018",
