"meta:instanceID","id","qr_ozone","qr_no2","qr_h2s","qr_so2","Location:Latitude","Location:Longitude","Location:Altitude","Location:Accuracy","sunorshade","photo","install_time","notes"
"uuid:f737f3f3-5bf4-4766-bf8c-23a9b510c9fe","4","050217012308 110401 O3 1705 -10.97","071717010149 110501 NO2 1707 -29.47","071817010209 110303 H2S 1707 264.60","071217010736 110601 SO2 1707 39.20","39.3247039000","-76.6299107000","0E-10","20.4090000000","partial","https://bmorecoolodk.appspot.com/view/binaryData?blobKey=build_BaltimoreOpenAir2017_1503427167%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Af737f3f3-5bf4-4766-bf8c-23a9b510c9fe%5D%2Fphoto","Wed Aug 30 15:36:35 UTC 2017","Sierra Club"
"uuid:bdc909f9-1e0e-40e6-aadc-78bf8d3880a6","5","050217012305 110401 O3 1705 -13.24","071717010118 110501 NO2 1707 -30.15","071817010217 110303 H2S 1707 288.29","071217010745 110601 SO2 1707 41.09","39.3247013000","-76.6298881000","0E-10","20.5190000000","partial","https://bmorecoolodk.appspot.com/view/binaryData?blobKey=build_BaltimoreOpenAir2017_1503427167%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Abdc909f9-1e0e-40e6-aadc-78bf8d3880a6%5D%2Fphoto","Wed Aug 30 15:41:03 UTC 2017","Sierra Club"
"uuid:0b5ea5c2-e8ba-4e5f-8571-fa1428ec7269","6","050217012409 110401 O3 1705 -10.44","071717010117 110501 NO2 1707 -31.03","071817010229 110303 H2S 1707 270.97","071217010730 110601 SO2 1707 34.10","39.3247039000","-76.6299107000","0E-10","20.3550000000","partial","https://bmorecoolodk.appspot.com/view/binaryData?blobKey=build_BaltimoreOpenAir2017_1503427167%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A0b5ea5c2-e8ba-4e5f-8571-fa1428ec7269%5D%2Fphoto","Wed Aug 30 15:44:56 UTC 2017","Sierra Club"
"uuid:aaa804dd-8f4b-441c-a980-598f35d3ba1d","7","050217012439 110401 O3 1705 -13.32","071717010456 110501 NO2 1707 -37.16","071817010225 110303 H2S 1707 247.44","071217010753 110601 SO2 1707 38.78","39.3247039000","-76.6299107000","0E-10","20.3640000000","partial","https://bmorecoolodk.appspot.com/view/binaryData?blobKey=build_BaltimoreOpenAir2017_1503427167%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Aaaa804dd-8f4b-441c-a980-598f35d3ba1d%5D%2Fphoto","Wed Aug 30 15:48:40 UTC 2017","Sierra Club"
"uuid:9881762e-9151-4d72-9d7f-7dcadad44c01","3","050217012331 110401 O3 1705 -14.5","071717010128 110501 NO2 1707 -28.30","071817010256 110303 H2S 1707 280.73","071217010716 110601 SO2 1707 29.07","39.3247039000","-76.6299107000","0E-10","20.3680000000","partial","https://bmorecoolodk.appspot.com/view/binaryData?blobKey=build_BaltimoreOpenAir2017_1503427167%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A9881762e-9151-4d72-9d7f-7dcadad44c01%5D%2Fphoto","Wed Aug 30 15:52:24 UTC 2017","Sierra Club"
"uuid:007bf870-6eaf-48fe-9e91-874791ccdaf5","15","111116030241 110401 O3 1701 -16.25","111416020152 110501 NO2 1612 -41.95","111116010139 110303 H2S 1612 241.15","111516040227 110601 SO2 1701 31.10","39.3099779000","-76.6141904000","0E-10","122.4000000000","sun",,"Tue Sep 05 03:50:57 UTC 2017","My house"
"uuid:afeed7ae-93e4-4925-9528-8af00a9be9b4","16","111116030211 110401 O3 1701 -16.98","111416020147 110501 NO2 1612 -46.86","111116010131 110303 H2S 1612 247.73","111516040112 110601 SO2 1701 36.67","39.3098245000","-76.6138214000","0E-10","50.0000000000","sun",,"Tue Sep 05 03:54:42 UTC 2017","My house"
"uuid:c366b2e7-76ef-4b21-a664-ca655573c3eb","17","111116030259 110401 O3 1701 -16.67","111416020159 110501 NO2 1612 -42.92","111116010141 110303 H2S 1612 265.35","111516040348 110601 SO2 1701 41.00","39.3113154000","-76.6129351000","0E-10","1070.0000000000","sun",,"Wed Sep 06 04:07:22 UTC 2017","Continous mode"
"uuid:30a35dac-049b-465e-bb1b-903ae5355d95","10","050217012431 110401 O3 1705 -13.64","071717010125 110501 NO2 1707 -31.76","071817010233 110303 H2S 1707 297.72","071217010244 110601 SO2 1707 41.00","39.1599003000","-76.8214010000","0E-10","1400.0000000000","sun","https://bmorecoolodk.appspot.com/view/binaryData?blobKey=build_BaltimoreOpenAir2017_1503427167%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A30a35dac-049b-465e-bb1b-903ae5355d95%5D%2Fphoto","Thu Sep 07 14:26:41 UTC 2017","Mde beltsville"
"uuid:080067ad-c63d-4ee2-b22d-bd96d5976879","11","050217012430 110401 O3 1705 -11.85","071717010130 110501 NO2 1707 -27.85","071817010223 110303 H2S 1707 274.38","071217010722 110601 SO2 1707 38.46","39.0552169700","-76.8786913900","17.0000000000","5.0000000000","sun","https://bmorecoolodk.appspot.com/view/binaryData?blobKey=build_BaltimoreOpenAir2017_1503427167%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A080067ad-c63d-4ee2-b22d-bd96d5976879%5D%2Fphoto","Thu Sep 07 14:32:21 UTC 2017","Mde beltsville. AFe unglued, so I taped it"
"uuid:54ef1017-39df-4198-ae38-0d5fb856ee7f","12","050217012424 110401 O3 1705 -11","071717010132 110501 NO2 1707 -36.81","071817010203 110303 H2S 1707 299.00","071217010252 110601 SO2 1707 42.76","39.0551767100","-76.8785833500","23.0000000000","5.0000000000","sun","https://bmorecoolodk.appspot.com/view/binaryData?blobKey=build_BaltimoreOpenAir2017_1503427167%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A54ef1017-39df-4198-ae38-0d5fb856ee7f%5D%2Fphoto","Thu Sep 07 14:37:45 UTC 2017","Mde beltsville"
"uuid:4c0e51ef-0fb4-40a5-a106-35fffefa6864","13","050217012427 110401 O3 1705 -11.31","071717010415 110501 NO2 1707 -44.89","071817010237 110303 H2S 1707 285.52","071217010235 110601 SO2 1707 40.76","39.0553079000","-76.8787773400","-1.0000000000","5.0000000000","sun","https://bmorecoolodk.appspot.com/view/binaryData?blobKey=build_BaltimoreOpenAir2017_1503427167%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A4c0e51ef-0fb4-40a5-a106-35fffefa6864%5D%2Fphoto","Thu Sep 07 14:42:54 UTC 2017","Mde beltsville"
"uuid:06ba216f-33f5-4783-8cc1-6c1f24a04723","14","050217012457 110401 O3 1705 -10.76","071717010112 110501 NO2 1707 -33.84","071817010218 110303 H2S 1707 284.11","071217010721 110601 SO2 1707 26.11","39.1599003000","-76.8214010000","0E-10","1400.0000000000","sun","https://bmorecoolodk.appspot.com/view/binaryData?blobKey=build_BaltimoreOpenAir2017_1503427167%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A06ba216f-33f5-4783-8cc1-6c1f24a04723%5D%2Fphoto","Thu Sep 07 14:48:56 UTC 2017","Mde beltsville"
"uuid:e335b87d-012b-4b02-b337-2cc8b2d89258","18","111116030248 110401 O3 1701 -16.43","111416020156 110501 NO2 1612 -46.60","111116010130 110303 H2S 1612 221.88","111516040214 110601 SO2 1701 33.74","39.0551613400","-76.8785667500","33.0000000000","5.0000000000","sun","https://bmorecoolodk.appspot.com/view/binaryData?blobKey=build_BaltimoreOpenAir2017_1503427167%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Ae335b87d-012b-4b02-b337-2cc8b2d89258%5D%2Fphoto","Thu Sep 07 14:55:45 UTC 2017","Mde beltsville. Continuous monitoring. H2s sensor dropped and maybe was in standing water."
"uuid:be87f054-2948-4448-bb88-b05e10a4bc6a","28","050217012425 110401 O3 1705 -13.43","071717010134 110501 NO2 1707 -36.70","071817010206 110303 H2S 1707 259.03","071217010724 110601 SO2 1707 38.26",,,,,,,"Fri Sep 08 18:35:31 UTC 2017",
"uuid:59b9e393-e347-4ad7-baf9-b5d979db7a18","29","050217012423 110401 O3 1705 -10.85","071717010426 110501 NO2 1707 -38.36","071817010215 110303 H2S 1707 266.53","071217010207 110601 SO2 1707 40.01",,,,,,,"Fri Sep 08 18:53:01 UTC 2017",
"uuid:2a8a0110-4977-4166-98ae-952f2757df62","30","050217012322 110401 O3 1705 -15.6","071717010136 110501 NO2 1707 -36.12","071817010410 110303 H2S 1707 244.73","071217010720 110601 SO2 1707 37.76",,,,,,,"Fri Sep 08 19:08:28 UTC 2017",
"uuid:b02343e5-2919-48f1-8ffa-c32270c987dc","31","050217012440 110401 O3 1705 -11.1","071717010455 110501 NO2 1707 -43.54","071817010425 110303 H2S 1707 250.21","071217010739 110601 SO2 1707 39.12",,,,,,,"Fri Sep 08 19:16:47 UTC 2017",
"uuid:ba1a5352-4d81-411a-be9a-d804b1f2152e","28",,,,,"39.3374294800","-76.6534108200","37.0000000000","5.0000000000","sun","https://bmorecoolodk.appspot.com/view/binaryData?blobKey=build_BaltimoreOpenAir2017_1503427167%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Aba1a5352-4d81-411a-be9a-d804b1f2152e%5D%2Fphoto","Thu Sep 14 18:30:23 UTC 2017","Loyola ridley athletic complex"
"uuid:0af357a7-aef9-486d-94f5-88f7a388ea2c","28",,,,,"39.3373861400","-76.6534053400","45.0000000000","10.0000000000","partial","https://bmorecoolodk.appspot.com/view/binaryData?blobKey=build_BaltimoreOpenAir2017_1503427167%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A0af357a7-aef9-486d-94f5-88f7a388ea2c%5D%2Fphoto","Thu Sep 14 18:31:24 UTC 2017","Loyola ridley athletic complex"
